X	Y	LS	lowCI	upCI	Xs	Ys	Len	Delay	P	PCC	Ppcc	SPCC	Pspcc	Dspcc	SCC	Pscc	SSCC	Psscc	Dsscc	Q	Qpcc	Qspcc	Qscc	Qsscc	Xi	Yi
OTU7	OTU47	-0.494165	-0.815118	-0.194215	1	2	8	-1	0.143000	-0.721337	0.028275	-0.911442	0.001623	-1	-0.230803	0.550187	-0.809953	0.014807	-1	0.206126	0.106031	0.001623	0.510945	0.001274	1	2
OTU7	OTU23	-0.446011	-0.735868	-0.202875	1	1	8	0	0.379000	-0.432473	0.244995	-0.561513	0.147535	1	-0.310924	0.415424	-0.548193	0.159499	1	0.401053	0.262495	0.016893	0.443119	0.006860	1	3
OTU7	OTU2	-0.273974	-0.619202	0.402920	1	1	3	0	0.581000	-0.409261	0.274039	-0.409261	0.274039	0	-0.292890	0.444355	-0.292890	0.444355	0	0.516444	0.276342	0.023141	0.461667	0.014311	1	4
OTU7	OTU22	0.460867	0.200504	0.767161	1	2	8	-1	0.280000	0.105668	0.786728	0.113279	0.789412	-1	0.409286	0.274007	0.524096	0.182438	-1	0.339394	0.416710	0.047446	0.339853	0.007495	1	5
OTU7	OTU4	0.623480	0.310416	0.881945	1	1	9	0	0.032000	0.866876	0.002482	0.866876	0.002482	0	0.677830	0.044809	0.677830	0.044809	0	0.103226	0.028628	0.001937	0.113801	0.002792	1	6
OTU7	OTU2771	-0.431825	-0.789669	-0.171643	1	1	9	0	0.391000	-0.509204	0.161476	-0.509204	0.161476	0	-0.485236	0.185482	-0.485236	0.185482	0	0.408889	0.226700	0.017400	0.263195	0.007495	1	7
OTU7	OTU14	-0.468208	-0.797527	-0.209856	2	3	7	-1	0.478000	-0.291024	0.447396	-0.455582	0.256622	-1	-0.294118	0.442357	-0.530120	0.176547	1	0.463515	0.339329	0.022321	0.461667	0.007322	1	8
OTU7	OTU41	0.129820	-0.509349	0.605429	2	1	7	1	0.804000	0.192296	0.620129	0.192296	0.620129	0	0.075630	0.846660	0.204819	0.626569	1	0.595983	0.399000	0.039249	0.601132	0.017835	1	9
OTU7	OTU519	-0.273073	-0.696198	0.493612	1	1	6	0	0.344000	-0.528878	0.143191	-0.528878	0.143191	0	-0.521008	0.150352	-0.521008	0.150352	0	0.384895	0.223154	0.016650	0.248003	0.006594	1	10
OTU7	OTU5	0.502583	0.242679	0.857450	1	2	8	-1	0.089000	0.279412	0.466530	0.916629	0.001360	-1	0.556967	0.119289	0.684861	0.060916	-1	0.161798	0.344670	0.001623	0.207459	0.003419	1	11
OTU7	OTU430	-0.123902	-0.539016	0.493251	4	5	5	-1	0.895000	-0.154989	0.690511	-0.164183	0.697644	1	-0.109244	0.779652	-0.109244	0.779652	0	0.604219	0.416710	0.043064	0.583592	0.020815	1	12
