X	Y	LS	lowCI	upCI	Xs	Ys	Len	Delay	P	PCC	Ppcc	SPCC	Pspcc	Dspcc	SCC	Pscc	SSCC	Psscc	Dsscc	Q	Qpcc	Qspcc	Qscc	Qsscc	Xi	Yi
OTU7	OTU47	0.336276	-0.595138	0.921472	1	2	6	-1	0.191000	0.511848	0.240262	0.804959	0.053352	-1	0.612637	0.143589	0.782691	0.065704	-1	0.470732	0.464626	0.005933	0.308915	0.006831	1	2
OTU7	OTU192	0.295125	0.155593	0.602728	1	1	7	0	0.939000	0.313503	0.493545	0.734582	0.096321	-1	0.418251	0.350395	0.521794	0.288343	1	0.854054	0.557421	0.007096	0.383735	0.012605	1	3
OTU7	OTU23	0.354988	-0.361293	0.865320	1	2	6	-1	0.087000	0.264320	0.566787	0.888253	0.018033	-1	0.378394	0.402602	0.885714	0.018845	-1	0.376000	0.592718	0.004571	0.394156	0.003627	1	4
OTU7	OTU2	-0.025902	-0.393887	0.400165	3	2	5	1	0.928000	-0.067388	0.885858	-0.715224	0.110099	1	0.000000	1.000000	-0.600000	0.208000	1	0.854054	0.664398	0.007490	0.608696	0.010061	1	5
OTU7	OTU22	0.213096	-0.475659	0.730489	3	2	5	1	0.371000	0.736170	0.059218	0.736170	0.059218	0	0.468487	0.288997	0.828571	0.041563	1	0.650877	0.263190	0.006266	0.364500	0.005363	1	6
OTU7	OTU4	0.007108	-0.363583	0.441167	3	2	5	1	0.878000	-0.454659	0.305385	-0.476717	0.339094	-1	-0.071429	0.879048	0.657143	0.156175	1	0.840191	0.486670	0.012559	0.567128	0.008941	1	7
OTU7	OTU2771	0.093462	-0.803070	0.810629	3	2	5	1	0.508000	0.146277	0.754320	-0.696680	0.124052	1	0.288300	0.530651	-0.714286	0.110787	1	0.700645	0.652385	0.007714	0.452994	0.007581	1	8
OTU7	OTU86	-0.061064	-0.503549	0.395581	3	2	5	1	0.709000	-0.312214	0.495419	-0.768343	0.074281	1	-0.205832	0.657923	-0.698253	0.122839	1	0.770652	0.557421	0.006692	0.503329	0.008051	1	9
OTU7	OTU14	-0.064145	-0.513748	0.345094	3	2	5	1	0.931000	-0.392156	0.384242	-0.739597	0.092886	1	0.000000	1.000000	-0.600000	0.208000	1	0.854054	0.539131	0.007096	0.608696	0.010061	1	10
OTU7	OTU84	0.376320	-0.287322	0.865320	1	1	4	0	0.086000	0.590182	0.163029	0.615354	0.193474	-1	0.607143	0.148231	0.607143	0.148231	0	0.376000	0.397510	0.009041	0.308915	0.008719	1	11
OTU7	OTU537	-0.075432	-0.503218	0.444406	4	4	4	0	0.832000	-0.344055	0.449862	-0.344055	0.449862	0	-0.145479	0.755633	-0.202920	0.699798	-1	0.819704	0.557421	0.015459	0.537854	0.024554	1	12
OTU7	OTU90	-0.153680	-0.541710	0.400165	1	1	2	0	0.945000	-0.328495	0.471925	-0.647050	0.164877	1	-0.054056	0.908365	-0.485714	0.328723	1	0.854054	0.557421	0.008483	0.575435	0.013369	1	13
OTU7	OTU4223	0.185106	-0.501446	0.767475	3	2	5	1	0.147000	0.340399	0.455011	0.892042	0.016853	1	0.618284	0.138895	0.840668	0.036058	1	0.427027	0.557421	0.004539	0.308915	0.005061	1	14
OTU7	OTU41	0.103853	-0.699786	0.696201	1	2	6	-1	0.465000	0.211769	0.648496	-0.710253	0.113767	1	0.414431	0.355269	-0.714286	0.110787	1	0.683212	0.617615	0.007540	0.383735	0.007581	1	15
OTU7	OTU519	0.303929	-0.200025	0.606702	3	4	4	-1	0.666000	0.247700	0.592272	0.654894	0.158097	-1	0.254588	0.581668	0.588490	0.219168	-1	0.748315	0.603590	0.008432	0.470766	0.010326	1	16
OTU7	OTU5	0.117416	-0.473782	0.633431	1	1	7	0	0.243000	0.382356	0.397281	0.831811	0.040053	1	0.709208	0.074331	0.765037	0.076326	1	0.524731	0.539131	0.005449	0.284975	0.006856	1	17
OTU7	OTU430	0.011900	-0.452343	0.511008	5	5	3	0	0.945000	-0.308029	0.501525	-0.335054	0.516226	-1	0.000000	1.000000	-0.235396	0.653428	1	0.854054	0.557421	0.016774	0.608696	0.023305	1	18
OTU7	OTU6	0.192088	-0.455937	0.764777	1	2	6	-1	0.601000	0.234966	0.612029	0.719394	0.107062	-1	0.392857	0.383317	0.714286	0.110787	-1	0.707059	0.608227	0.007435	0.383735	0.007581	1	19
