plant_year,OTU
misc16,OTU10
misc16,OTU1088
misc16,OTU1221
misc16,OTU132
misc16,OTU1334
misc16,OTU14
misc16,OTU1409
misc16,OTU15
misc16,OTU1674
misc16,OTU18
misc16,OTU180
misc16,OTU1807
misc16,OTU190
misc16,OTU192
misc16,OTU199
misc16,OTU2
misc16,OTU21
misc16,OTU23
misc16,OTU275
misc16,OTU2771
misc16,OTU32
misc16,OTU3963
misc16,OTU3994
misc16,OTU4
misc16,OTU41
misc16,OTU430
misc16,OTU47
misc16,OTU48
misc16,OTU487
misc16,OTU5
misc16,OTU50
misc16,OTU519
misc16,OTU537
misc16,OTU6
misc16,OTU6096
misc16,OTU66
misc16,OTU7
misc16,OTU7737
misc16,OTU81
misc16,OTU84
misc16,OTU842
misc16,OTU90
misc16,OTU9197
misc16,OTU995
sw16,OTU10
sw16,OTU10438
sw16,OTU132
sw16,OTU13206
sw16,OTU1334
sw16,OTU14
sw16,OTU15
sw16,OTU17186
sw16,OTU179
sw16,OTU18
sw16,OTU1807
sw16,OTU190
sw16,OTU192
sw16,OTU199
sw16,OTU2
sw16,OTU21
sw16,OTU23
sw16,OTU233
sw16,OTU246
sw16,OTU2771
sw16,OTU29
sw16,OTU32
sw16,OTU343
sw16,OTU389
sw16,OTU3963
sw16,OTU4
sw16,OTU41
sw16,OTU430
sw16,OTU47
sw16,OTU487
sw16,OTU5
sw16,OTU50
sw16,OTU519
sw16,OTU537
sw16,OTU6
sw16,OTU6096
sw16,OTU649
sw16,OTU66
sw16,OTU7
sw16,OTU7737
sw16,OTU79
sw16,OTU8
sw16,OTU81
sw16,OTU8259
sw16,OTU84
sw16,OTU842
sw16,OTU86
sw16,OTU89
sw16,OTU90
sw16,OTU9197
sw16,OTU995
sw17,OTU10
sw17,OTU10438
sw17,OTU14
sw17,OTU15
sw17,OTU152
sw17,OTU1674
sw17,OTU18
sw17,OTU190
sw17,OTU192
sw17,OTU199
sw17,OTU2
sw17,OTU21
sw17,OTU23
sw17,OTU2771
sw17,OTU292
sw17,OTU32
sw17,OTU3963
sw17,OTU4
sw17,OTU41
sw17,OTU416
sw17,OTU4223
sw17,OTU430
sw17,OTU47
sw17,OTU5
sw17,OTU50
sw17,OTU519
sw17,OTU537
sw17,OTU6
sw17,OTU6270
sw17,OTU632
sw17,OTU649
sw17,OTU7
sw17,OTU7737
sw17,OTU79
sw17,OTU8
sw17,OTU81
sw17,OTU84
sw17,OTU86
sw17,OTU89
sw17,OTU90
sw17,OTU9197
sw17,OTU995
