out,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU15,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Aurantimonadaceae,g:Aureimonas,s:Aurantimonas_sp._AU22
OTU2,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas,
OTU3,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria,,
OTU1,k:Bacteria,p:Cyanobacteria,c:Chloroplast,,,,
OTU6,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas,
OTU7,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Massilia,
OTU5,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacteriales,f:Enterobacteriaceae,,
OTU8,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Bradyrhizobiaceae,g:Bradyrhizobium,
OTU4,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas,
OTU9,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria,,
OTU10,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Methylobacterium,
OTU13,k:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Chitinophagaceae,,
OTU11,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_4,f:RB41,,
OTU16,k:Bacteria,,,,,,
OTU12,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Xanthobacteraceae,,
OTU14,k:Bacteria,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Hymenobacter,
OTU17,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadales_Incertae_Sedis,g:Steroidobacter,
OTU22,k:Bacteria,,,,,,
OTU20,k:Bacteria,p:Verrucomicrobia,c:Spartobacteria,o:Chthoniobacterales,f:DA101_soil_group,,
OTU18,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Methylobacterium,
OTU19,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Nitrosomonadales,f:Nitrosomonadaceae,,
OTU21,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Methylobacterium,s:Methylobacterium_adhaesivum
OTU24,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Xanthobacteraceae,,
OTU23,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Rhizobiaceae,g:Rhizobium,
OTU27,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Rhodobiaceae,,
OTU30,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria,,
OTU29,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Novosphingobium,
OTU28,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Acidobacteriales,f:Acidobacteriaceae_[Subgroup_1],,
OTU25,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:TRA3-20,,,
OTU26,k:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Bacillaceae,g:Bacillus,
OTU31,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas,
OTU32,k:Bacteria,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Sphingobacteriaceae,g:Pedobacter,s:Bacteroidetes_bacterium_EC2
OTU33,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_6,,,
OTU35,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Rhodobiaceae,,
OTU36,k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadales_Incertae_Sedis,g:Acidibacter,
OTU34,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Nitrosomonadales,f:Nitrosomonadaceae,,
OTU37,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_4,f:RB41,,
OTU39,k:Bacteria,p:Nitrospirae,c:Nitrospira,o:Nitrospirales,f:Nitrospiraceae,g:Nitrospira,s:Nitrospira_japonica
OTU38,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Nitrosomonadales,f:Nitrosomonadaceae,,
OTU40,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Acidobacteriales,f:Acidobacteriaceae_[Subgroup_1],,
OTU43,k:Bacteria,p:Proteobacteria,,,,,
OTU41,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Polaromonas,
OTU42,k:Bacteria,p:Nitrospirae,c:Nitrospira,o:Nitrospirales,f:Nitrospiraceae,g:Nitrospira,
OTU44,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_2,,,
OTU46,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_3,f:Unknown_Family,g:Bryobacter,
OTU45,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,,,,
OTU47,k:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Micrococcales,f:Microbacteriaceae,,
OTU48,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Methylobacterium,
OTU49,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Acidobacteriales,f:Acidobacteriaceae_[Subgroup_1],,
OTU50,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Methylobacterium,s:Methylobacterium_komagatae
OTU51,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Acidobacteriales,f:Acidobacteriaceae_[Subgroup_1],,
OTU52,k:Bacteria,p:Verrucomicrobia,c:Spartobacteria,o:Chthoniobacterales,f:DA101_soil_group,,
OTU53,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_3,f:Unknown_Family,g:Bryobacter,
OTU55,k:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Frankiales,f:Acidothermaceae,g:Acidothermus,
OTU57,k:Bacteria,p:Acidobacteria,c:Acidobacteria,o:Subgroup_3,f:Unknown_Family,g:Bryobacter,
OTU58,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:Desulfurellales,f:Desulfurellaceae,,
OTU59,k:Bacteria,p:Proteobacteria,c:Deltaproteobacteria,o:GR-WP33-30,,,
OTU56,k:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Nitrosomonadales,f:Nitrosomonadaceae,,
OTU54,k:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Bacillaceae,g:Bacillus,
OTU60,k:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Xanthobacteraceae,g:Variibacter,s:Rhodoplanes_sp._Z2-YC6860
