sampleID	plotID	name	day	month	year	time	weather	air_temp_c	notes	plot_name	rep	pseudorep	MMPRNT_ID	plant	treatment	time_zone	longitude	latitude	altitude	location	country	soil_name	number_cores	SPNL_date	pH	lime_index	P_ppm	K_ppm	Ca_ppm	Mg_ppm	organic_matter	NO3N_ppm	NH4_ppm	soil_moisture_percent	soil_temp_10cm	plant_name	LDMC_mg_per_g	nitrogen_percent	carbon_percent	carbon_per_nitrogen	height_mean_cm	mass_per_leaf_g	nucleic_acid_name	date_of_extraction	nucleic_acid_type	replicate_extraction	source	source_mass	extraction_method	elution_vol_ul	concentration_ng_per_ul	ratio_260_280	conc_ng_per_g_source	extracted_by	sequence_name	sequencing_date	conc_sent_ng_per_ul	sequencing_type	sequencing_facility	primers	submitted_for_sequencing	sequencing_successful	duplicate_submitted	dup_sequencing_name	exclude_from_analysis	itemID_JGI	sampleID_JGI	barcode	JGI_library	HPCC_path	JGI_taxonOID	JGI_rawdataname	sampling_date	time_numeric	date	precipitation	Air_temp_mean	air_temp_max	Air_Temp_Min	Air_Pressure	RH	AH	Wind_Speed_Mean	Wind_Direction_Mean	Solar_Radiation	PAR	soil_temp_5_cm_bare_avg	soil_temp_5_cm_sod_avg	Year	X	X.1	X.2	X.3
169	1	G5R1_MAIN_15MAY2017	15	5	2017	11:16	Very sunny	22.4	NA	G5R1_MAIN	1	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R1_MAIN_15MAY2017	6	2017-12-07	6.3	72	22	94	805	119	2	3.5	16.5	9.41	17.3	G5R1_MAIN_15MAY2017	212	3.0992	44.03	14.2069	24.13	0.206	G5R1_MAIN_15MAY2017_LR1	11/2/17	RNA	1	phyllosphere	5.54	Benzyl Chloride	50	562.48	2.19	5076.5	KL Grady	G5R1_MAIN_15MAY2017_LR1_MT		45	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192750					NA	2017-05-15	1494820800	15.05.17	0	16.6	24.4	7.9	982	49.64	0.89	2.96	124.5	306.44	414.74	21.3	13.3	2017	NA	NA	NA	NA
170	2	G5R2_MAIN_15MAY2017	15	5	2017	12:46	Very sunny	25.5	NA	G5R2_MAIN	2	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R2_MAIN_15MAY2017	6	2017-12-07	6.3	75	15	104	825	138	2.1	5.9	30.4	8.75	19.2	G5R2_MAIN_15MAY2017	243	3.045	44.7364	14.6918	22.86	0.168	G5R2_MAIN_15MAY2017_LR1	11/2/17	RNA	1	phyllosphere	5.54	Benzyl Chloride	50	103.69	2.15	935.8	KL Grady	G5R2_MAIN_15MAY2017_LR1_MT		16.6	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192751					NA	2017-05-15	1494820800	15.05.17	0	16.6	24.4	7.9	982	49.64	0.89	2.96	124.5	306.44	414.74	21.3	13.3	2017	NA	NA	NA	NA
171	3	G5R3_MAIN_15MAY2017	15	5	2017	13:37	Very sunny	23.9	NA	G5R3_MAIN	3	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R3_MAIN_15MAY2017	6	2017-12-07	6.4	72	12	117	1034	150	2.2	16.4	16.5	14.18	17.6	G5R3_MAIN_15MAY2017	244	3.024	44.3274	14.6585	24.13	0.214	G5R3_MAIN_15MAY2017_LR1	11/2/17	RNA	1	phyllosphere	5.54	Benzyl Chloride	50	176.54	2.12	1593.3	KL Grady	G5R3_MAIN_15MAY2017_LR1_MT		28.2	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192752					NA	2017-05-15	1494820800	15.05.17	0	16.6	24.4	7.9	982	49.64	0.89	2.96	124.5	306.44	414.74	21.3	13.3	2017	NA	NA	NA	NA
172	4	G5R4_MAIN_15MAY2017	15	5	2017	14:23	Very sunny	22.8	NA	G5R4_MAIN	4	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R4_MAIN_15MAY2017	6	2017-12-07	6.5	74	27	198	1037	188	2.3	4.7	13.9	12.98	21.1	G5R4_MAIN_15MAY2017	236	3.2527	44.0536	13.5437	25.4	0.185	G5R4_MAIN_15MAY2017_LR1	11/2/17	RNA	1	phyllosphere	5.54	Benzyl Chloride	50	63.54	2.1	573.5	KL Grady	G5R4_MAIN_15MAY2017_LR1_MT		15.2	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192753					NA	2017-05-15	1494820800	15.05.17	0	16.6	24.4	7.9	982	49.64	0.89	2.96	124.5	306.44	414.74	21.3	13.3	2017	NA	NA	NA	NA
173	6	G5R1_NF_15MAY2017	15	5	2017	11:45	Very sunny	22.4	NA	G5R1_NF	1	NA	NA	switchgrass	nitrogen free	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R1_NF_15MAY2017	6	2017-12-07	6.7	73	21	133	936	145	2.1	0.9	11.1	12.37	17.5	G5R1_NF_15MAY2017	247	2.6717	44.279	16.5733	20.32	0.188	G5R1_NF_15MAY2017_LR1	11/2/17	RNA	1	phyllosphere	5.54	Benzyl Chloride	50	162.37	2.14	1465.4	KL Grady	G5R1_NF_15MAY2017_LR1_MT		19.5	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192754					NA	2017-05-15	1494820800	15.05.17	0	16.6	24.4	7.9	982	49.64	0.89	2.96	124.5	306.44	414.74	21.3	13.3	2017	NA	NA	NA	NA
174	7	G5R2_NF_15MAY2017	15	5	2017	13:03	Very sunny	24.6	NA	G5R2_NF	2	NA	NA	switchgrass	nitrogen free	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R2_NF_15MAY2017	6	2017-12-07	6.5	75	14	122	891	148	2.1	0.8	10.7	11.13	19.1	G5R2_NF_15MAY2017	277	2.4985	44.2372	17.7055	21.59	0.25	G5R2_NF_15MAY2017_LR1	11/2/17	RNA	1	phyllosphere	5.54	Benzyl Chloride	50	259.5	2.11	2342.1	KL Grady	G5R2_NF_15MAY2017_LR1_MT		31.1	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192755					NA	2017-05-15	1494820800	15.05.17	0	16.6	24.4	7.9	982	49.64	0.89	2.96	124.5	306.44	414.74	21.3	13.3	2017	NA	NA	NA	NA
175	8	G5R3_NF_15MAY2017	15	5	2017	13:50	Very sunny	23.8	NA	G5R3_NF	3	NA	NA	switchgrass	nitrogen free	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R3_NF_15MAY2017	6	2017-12-07	6.5	72	13	118	1088	145	2.3	3	12.5	14.5	19.6	G5R3_NF_15MAY2017	255	2.6065	44.225	16.9672	25.4	0.199	G5R3_NF_15MAY2017_LR1	11/2/17	RNA	1	phyllosphere	5.54	Benzyl Chloride	50	254.1	2.14	2293.3	KL Grady	G5R3_NF_15MAY2017_LR1_MT		30.5	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192756					NA	2017-05-15	1494820800	15.05.17	0	16.6	24.4	7.9	982	49.64	0.89	2.96	124.5	306.44	414.74	21.3	13.3	2017	NA	NA	NA	NA
176	9	G5R4_NF_15MAY2017	15	5	2017	15:37	Very sunny	21.5	NA	G5R4_NF	4	NA	NA	switchgrass	nitrogen free	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R4_NF_15MAY2017	6	2017-12-07	6.5	75	25	106	800	138	2	0.7	11.3	12.61	20.5	G5R4_NF_15MAY2017	266	2.5309	44.0747	17.4146	19.05	0.211	G5R4_NF_15MAY2017_LR1	11/2/17	RNA	1	phyllosphere	5.54	Benzyl Chloride	50	234.66	2.13	2117.9	KL Grady	G5R4_NF_15MAY2017_LR1_MT		28.2	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192757					NA	2017-05-15	1494820800	15.05.17	0	16.6	24.4	7.9	982	49.64	0.89	2.96	124.5	306.44	414.74	21.3	13.3	2017	NA	NA	NA	NA
177	1	G5R1_MAIN_05JUN2017	5	6	2017	11:14	Partly cloudy	14.8	NA	G5R1_MAIN	1	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R1_MAIN_05JUN2017	6	2017-12-07	6.3	72	26	95	750	123	1.9	1.6	10.3	7.64	18.6	G5R1_MAIN_05JUN2017	211	2.451	44.9215	18.3278	84.33	0.517	G5R1_MAIN_05JUN2017_LR1	11/6/17	RNA	1	phyllosphere	6.86	Benzyl Chloride	50	73.51	2.12	535.8	KL Grady	G5R1_MAIN_05JUN2017_LR1_MT		17.6	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192758					NA	2017-06-05	1496635200	05.06.17	0	17.4	22.6	12.2	976	77.35	1.48	2.9	25.7	207.34	282.28	22.5	17.3	2017	NA	NA	NA	NA
178	2	G5R2_MAIN_05JUN2017	5	6	2017	11:49	Sunny and clear	16.6	NA	G5R2_MAIN	2	NA	NA	switchgrass	standard fertilization	GMT - 5:00	-85.37	42.39	286	Kellogg Biological Station	United States	G5R2_MAIN_05JUN2017	6	2017-12-07	6.2	74	16	98	780	139	2.3	1.4	10.3	7.07	19	G5R2_MAIN_05JUN2017	226	2.5455	45.2345	17.7704	82.55	0.622	G5R2_MAIN_05JUN2017_LR1	11/11/17	RNA	1	phyllosphere	3.65	Benzyl Chloride	50	110.68	2.14	1516.2	KL Grady	G5R2_MAIN_05JUN2017_LR1_MT		17.7	Metatranscriptome	DOE Joint Genome Institute	NA	Y	Y	N	NA	N	0	192759					NA	2017-06-05	1496635200	05.06.17	0	17.4	22.6	12.2	976	77.35	1.48	2.9	25.7	207.34	282.28	22.5	17.3	2017	NA	NA	NA	NA
